,set_id,name,year,theme,subtheme,themeGroup,category,pieces,minifigs,agerange_min,US_retailPrice,bricksetURL,thumbnailURL,imageURL
0,1-8,Small house set,1970,Minitalia,N/A,Vintage,Normal,67,2,6,19,https://brickset.com/sets/1-8,https://images.brickset.com/sets/small/1-8.jpg,https://images.brickset.com/sets/images/1-8.jpg
1,2-8,Medium house set,1970,Minitalia,N/A,Vintage,Normal,109,2,6,19,https://brickset.com/sets/2-8,https://images.brickset.com/sets/small/2-8.jpg,https://images.brickset.com/sets/images/2-8.jpg
2,3-6,Medium house set,1970,Minitalia,N/A,Vintage,Normal,158,2,6,19,https://brickset.com/sets/3-6,https://images.brickset.com/sets/small/3-6.jpg,https://images.brickset.com/sets/images/3-6.jpg
3,4-4,Large house set,1970,Minitalia,N/A,Vintage,Normal,233,2,6,19,https://brickset.com/sets/4-4,https://images.brickset.com/sets/small/4-4.jpg,https://images.brickset.com/sets/images/4-4.jpg
4,4-6,Mini House and Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,128,2,6,19,https://brickset.com/sets/4-6,Not Available,Not Available
5,078-1,Roadway Base Plate 50X50,1970,Samsonite,Supplemental,Vintage,Normal,1,2,6,19,https://brickset.com/sets/078-1,https://images.brickset.com/sets/small/078-1.jpg,https://images.brickset.com/sets/images/078-1.jpg
6,104-1,4.5V Replacement Motor,1970,Trains,Supplemental / 4.5V,Modern day,Normal,1,2,7,19,https://brickset.com/sets/104-1,https://images.brickset.com/sets/small/104-1.jpg,https://images.brickset.com/sets/images/104-1.jpg
7,126-1,Steam Locomotive (Push),1970,Trains,4.5v,Modern day,Normal,60,2,7,19,https://brickset.com/sets/126-1,https://images.brickset.com/sets/small/126-1.jpg,https://images.brickset.com/sets/images/126-1.jpg
8,157-3,4 Car Auto Transport,1970,Samsonite,Model Maker,Vintage,Normal,65,2,6,19,https://brickset.com/sets/157-3,https://images.brickset.com/sets/small/157-3.jpg,https://images.brickset.com/sets/images/157-3.jpg
9,242-4,Big Model Book,1970,Books,LEGO,Miscellaneous,Book,8,1,6,18,https://brickset.com/sets/242-4,https://images.brickset.com/sets/small/242-4.jpg,https://images.brickset.com/sets/images/242-4.jpg
10,271-3,Mini-House with Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,89,2,6,19,https://brickset.com/sets/271-3,https://images.brickset.com/sets/small/271-3.jpg,https://images.brickset.com/sets/images/271-3.jpg
11,311-5,Remote Control Car Set,1970,Samsonite,Model Maker,Vintage,Normal,271,2,6,19,https://brickset.com/sets/311-5,https://images.brickset.com/sets/small/311-5.jpg,https://images.brickset.com/sets/images/311-5.jpg
12,312-1,Remote Control Supplement,1970,Samsonite,Model Maker,Vintage,Normal,1,2,6,19,https://brickset.com/sets/312-1,https://images.brickset.com/sets/small/312-1.jpg,https://images.brickset.com/sets/images/312-1.jpg
13,338-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,74,2,6,19,https://brickset.com/sets/338-1,https://images.brickset.com/sets/small/338-1.jpg,https://images.brickset.com/sets/images/338-1.jpg
14,345-3,House with Mini-Wheel Car,1970,Samsonite,Model Maker,Vintage,Normal,136,2,6,19,https://brickset.com/sets/345-3,https://images.brickset.com/sets/small/345-3.jpg,https://images.brickset.com/sets/images/345-3.jpg
15,346-1,Jumbo Jet,1970,Samsonite,Model Maker,Vintage,Normal,121,2,6,19,https://brickset.com/sets/346-1,https://images.brickset.com/sets/small/346-1.jpg,https://images.brickset.com/sets/images/346-1.jpg
16,347-1,Fire Station,1970,LEGOLAND,Building,Vintage,Normal,320,2,6,19,https://brickset.com/sets/347-1,https://images.brickset.com/sets/small/347-1.jpg,https://images.brickset.com/sets/images/347-1.jpg
17,347-4,Fire Station with Mini-Wheel Vehicles,1970,Samsonite,Model Maker,Vintage,Normal,216,2,6,19,https://brickset.com/sets/347-4,https://images.brickset.com/sets/small/347-4.jpg,https://images.brickset.com/sets/images/347-4.jpg
18,348-2,Mini-Wheel Car and Truck Set,1970,Samsonite,Model Maker,Vintage,Normal,211,2,6,19,https://brickset.com/sets/348-2,https://images.brickset.com/sets/small/348-2.jpg,https://images.brickset.com/sets/images/348-2.jpg
19,367-2,Mini Airport and Vehicle,1970,Samsonite,Model Maker,Vintage,Normal,233,2,6,19,https://brickset.com/sets/367-2,https://images.brickset.com/sets/small/367-2.jpg,https://images.brickset.com/sets/images/367-2.jpg
20,512-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,20,2,2,19,https://brickset.com/sets/512-1,https://images.brickset.com/sets/small/512-1.jpg,https://images.brickset.com/sets/images/512-1.jpg
21,513-1,Building Set ,1970,Duplo,Basic Set,Pre-school,Normal,29,2,2,19,https://brickset.com/sets/513-1,https://images.brickset.com/sets/small/513-1.jpg,https://images.brickset.com/sets/images/513-1.jpg
22,600-1,Ambulance,1970,LEGOLAND,Vehicle,Vintage,Normal,17,2,6,19,https://brickset.com/sets/600-1,https://images.brickset.com/sets/small/600-1.jpg,https://images.brickset.com/sets/images/600-1.jpg
23,601-2,Tow Truck,1970,LEGOLAND,Vehicle,Vintage,Normal,15,2,6,19,https://brickset.com/sets/601-2,https://images.brickset.com/sets/small/601-2.jpg,https://images.brickset.com/sets/images/601-2.jpg
24,602-2,Van with opening doors,1970,LEGOLAND,Vehicle,Vintage,Normal,24,2,6,19,https://brickset.com/sets/602-2,https://images.brickset.com/sets/small/602-2.jpg,https://images.brickset.com/sets/images/602-2.jpg
25,603-3,Veteran Car,1970,LEGOLAND,Vehicle,Vintage,Normal,32,2,6,19,https://brickset.com/sets/603-3,https://images.brickset.com/sets/small/603-3.jpg,https://images.brickset.com/sets/images/603-3.jpg
